S.no,Item Name,Category Name,Menu,Qty,Gross Sales,Net Sales,Taxes,Orders,% Sales,Order Source
199,Garlic Pizza Bread,Sides,FOOD MENU,4,£25.12,£25.12,£0.00,4,0.17%,All
200,Garlic Dough Balls,Starters,FOOD MENU,11,£23.00,£23.00,£0.00,10,0.16%,All
201,Classic Crispy Chicken Wings,Starters,FOOD MENU,2,£7.95,£7.95,£0.00,2,0.06%,All
202,BBQ Chicken Wings,Starters,FOOD MENU,4,£15.90,£15.90,£0.00,4,0.11%,All
203,Hot Honey Chicken Wings,Starters,FOOD MENU,10,£22.26,£22.26,£0.00,10,0.15%,All
204,Southern Fried Chicken,Starters,FOOD MENU,13,£0.00,£0.00,£0.00,13,0.00%,All
205,Classic Fries,Sides,FOOD MENU,9,£35.16,£35.16,£0.00,8,0.24%,All
206,Arancini Bolognese,Starters,FOOD MENU,9,£11.90,£11.90,£0.00,9,0.08%,All
207,Burrata Salad (V),Sides,FOOD MENU,2,£17.90,£17.90,£0.00,2,0.12%,All
208,Steak and Ale Pie,Pub Mains,Relaunch Weekend Offer,19,£320.37,£320.37,£0.00,15,2.23%,All
209,Chicken Milanese,Pub Mains,Relaunch Weekend Offer,10,£147.55,£147.55,£0.00,9,1.03%,All
210,Beef Stew,Pub Mains,Relaunch Weekend Offer,9,£139.05,£139.05,£0.00,6,0.97%,All
211,Classic Beef Burger,Pub Mains,Relaunch Weekend Offer,9,£152.55,£152.55,£0.00,9,1.06%,All
212,Crispy Chicken Burger,Pub Mains,Relaunch Weekend Offer,12,£174.00,£174.00,£0.00,11,1.21%,All
213,Slow-Cooked BBQ Pork Ribs,Pub Mains,Relaunch Weekend Offer,10,£159.50,£159.50,£0.00,8,1.11%,All
214,Roast Chicken,Pub Mains,Relaunch Weekend Offer,5,£77.50,£77.50,£0.00,5,0.54%,All
215,Margherita (V),Pizzas,Relaunch Weekend Offer,7,£85.26,£85.26,£0.00,6,0.59%,All
216,Pepperoni,Pizzas,Relaunch Weekend Offer,11,£153.95,£153.95,£0.00,11,1.07%,All
217,Hot Honey Pepperoni,Pizzas,Relaunch Weekend Offer,13,£207.35,£207.35,£0.00,11,1.44%,All
218,Zia Special,Pizzas,Relaunch Weekend Offer,7,£113.65,£113.65,£0.00,7,0.79%,All
219,Hawaiian,Pizzas,Relaunch Weekend Offer,4,£55.80,£55.80,£0.00,4,0.39%,All
220,Vegetariana (V),Pizzas,Relaunch Weekend Offer,3,£39.68,£39.68,£0.00,3,0.28%,All
221,Pollo Barbecue,Pizzas,Relaunch Weekend Offer,4,£61.80,£61.80,£0.00,4,0.43%,All
222,Beef Brisket BBQ,Pizzas,Relaunch Weekend Offer,6,£101.49,£101.49,£0.00,4,0.71%,All
223,Lasagne Al Forno 0,Pastas,Relaunch Weekend Offer,13,£181.35,£181.35,£0.00,10,1.26%,All
224,Spaghetti Bolognese 0,Pastas,Relaunch Weekend Offer,6,£77.70,£77.70,£0.00,4,0.54%,All
225,Spaghetti Carbonara 0,Pastas,Relaunch Weekend Offer,10,£125.00,£125.00,£0.00,10,0.87%,All
226,Chicken Alfredo 0,Pastas,Relaunch Weekend Offer,8,£103.60,£103.60,£0.00,8,0.72%,All
227,Penne Arrabbiata (VG) 0,Pastas,Relaunch Weekend Offer,6,£67.76,£67.76,£0.00,5,0.47%,All
228,Tiramisu Truffle Bites,Desserts,DESSERTS MENU,18,£0.00,£0.00,£0.00,12,0.00%,All
229,Profiteroles,Desserts,DESSERTS MENU,29,£31.65,£31.65,£0.00,21,0.22%,All
230,Warm Chocolate Brownie,Desserts,DESSERTS MENU,35,£45.50,£45.50,£0.00,23,0.32%,All
231,Bread and Butter Pudding,Desserts,DESSERTS MENU,29,£32.50,£32.50,£0.00,19,0.23%,All
232,Gelato,Desserts,DESSERTS MENU,11,£19.80,£19.80,£0.00,10,0.14%,All
233,Kids - 2 Course,Kids Menu,FOOD MENU,6,£57.00,£57.00,£0.00,4,0.40%,All
234,Classic Fries,Sides,Third Party Menu,1,£4.80,£4.80,£0.00,1,0.03%,All
235,Kids Mains,Kids Menu,FOOD MENU,4,£27.96,£27.96,£0.00,4,0.19%,All
236,Garlic Mayo,Dips,FOOD MENU,3,£3.00,£3.00,£0.00,2,0.02%,All
237,Halloumi Burger V,Pub Mains,Relaunch Weekend Offer,5,£69.50,£69.50,£0.00,5,0.48%,All
238,Steak and Ale Pie,Pub Mains,FOOD MENU,1,£16.95,£16.95,£0.00,1,0.12%,All
239,Chicken Milanese,Pub Mains,FOOD MENU,1,£13.00,£13.00,£0.00,1,0.09%,All
240,Hot Honey Pepperoni,Pizzas,FOOD MENU,2,£31.90,£31.90,£0.00,2,0.22%,All
241,Tiramisu Affogate,Desserts,DESSERTS MENU,9,£0.00,£0.00,£0.00,5,0.00%,All
242,Polpette della Nonna Pina,Starters,Takeaway Menu,1,£8.45,£8.45,£0.00,1,0.06%,All
243,Southern Fried Chicken Goujons (4 pieces),Starters,Takeaway Menu,2,£14.90,£14.90,£0.00,2,0.10%,All
244,Classic Fries,Sides,Takeaway Menu,4,£19.00,£19.00,£0.00,4,0.13%,All
245,Funghi Pizza (V),Pizzas,Takeaway Menu,4,£47.55,£47.55,£0.00,3,0.33%,All
246,Romana Pizza,Pizzas,Takeaway Menu,3,£32.10,£32.10,£0.00,3,0.22%,All
247,Tiramisu,Desserts,Takeaway Menu,1,£0.00,£0.00,£0.00,1,0.00%,All
248,Soft Drinks (330ml),Drinks,Takeaway Menu,1,£0.00,£0.00,£0.00,1,0.00%,All
249,Hot Honey Pepperoni,Stone Baked Pizzas 12Inch,Takeaway,1,£14.95,£14.95,£0.00,1,0.10%,All
250,Beef Brisket Pizza,Stone Baked Pizzas 12Inch,Takeaway,1,£16.95,£16.95,£0.00,1,0.12%,All
251,Garlic Dough Balls (7 pcs),Garlic Bread and Dough Balls,Takeaway,1,£3.75,£3.75,£0.00,1,0.03%,All
252,Cheesy Dough Balls,Garlic Bread and Dough Balls,Takeaway,1,£4.25,£4.25,£0.00,1,0.03%,All
Total,,,,2066,"£14,364.19","£14,364.19",£0.00,1559,,
